state,graph_distance,pair_count,mean_abs_correlation,max_abs_correlation,rms_correlation
exact,1,30,0.9811626853831819,1.8778022927591125,1.1822797378307506
exact,2,44,0.08239607842334534,0.22598444365989517,0.11114821799433713
exact,3,50,0.04254942033299944,0.08237265215447556,0.049126511163639884
exact,4,30,0.021071836327493907,0.0356549669942679,0.023447086273078448
exact,5,15,0.01612689705781487,0.023612974862856385,0.016840210879937118
exact,6,2,0.017231752223642094,0.017231752303467462,0.01723175222364209
static_dimer,1,30,0.8999999999999999,2.9999999999999996,1.6431676725154982
static_dimer,2,44,0.0,0.0,0.0
static_dimer,3,50,0.0,0.0,0.0
static_dimer,4,30,0.0,0.0,0.0
static_dimer,5,15,0.0,0.0,0.0
static_dimer,6,2,0.0,0.0,0.0
equal_rvb_54,1,30,0.8978911741733921,1.7409528768549853,1.0417824131432
equal_rvb_54,2,44,0.16016780667913183,0.3866180682114032,0.19684019103551828
equal_rvb_54,3,50,0.06727935433480862,0.22103618849258008,0.09437729039310375
equal_rvb_54,4,30,0.0351210622233793,0.13199687581359013,0.04681960171970552
equal_rvb_54,5,15,0.01645404842488934,0.06014058838844059,0.02330086002110329
equal_rvb_54,6,2,0.0046862796146836215,0.005467326217130888,0.004750921007782984
weighted_rvb_54,1,30,1.033014156060454,1.920037824054026,1.2135509914821423
weighted_rvb_54,2,44,0.12886159268429617,0.3077488463673671,0.16250217137596795
weighted_rvb_54,3,50,0.06066890644199132,0.128078154115775,0.07192055513364727
weighted_rvb_54,4,30,0.0403638211896533,0.0692524251759875,0.04276571002795913
weighted_rvb_54,5,15,0.03491943229288764,0.05265897563932657,0.03691456874796132
weighted_rvb_54,6,2,0.036376651857231976,0.03637665185723633,0.036376651857231976
weighted_hva_p1,1,30,1.0219546720539807,1.932824843992802,1.207242168145579
weighted_hva_p1,2,44,0.12239981954791887,0.3045198049355794,0.15404363854716624
weighted_hva_p1,3,50,0.05850806933640843,0.11574530579328762,0.06865103533831327
weighted_hva_p1,4,30,0.039167321978999005,0.06981367839062,0.04163064996615728
weighted_hva_p1,5,15,0.033645574066282,0.05193734304018656,0.03568562118687921
weighted_hva_p1,6,2,0.03482447228490043,0.03535538508853686,0.034828519037232455
weighted_hva_p2,1,30,1.0104978367512185,1.9094963824610267,1.1993148894850667
weighted_hva_p2,2,44,0.1128529593104258,0.28596780920278164,0.1449344048520155
weighted_hva_p2,3,50,0.05565553310956572,0.11196099098868684,0.06450419712949024
weighted_hva_p2,4,30,0.0376445812512357,0.06808369549840862,0.040137701366348366
weighted_hva_p2,5,15,0.0316419987651134,0.050124802658185225,0.03371711742586787
weighted_hva_p2,6,2,0.03209190466645571,0.032537796800903226,0.03209500217972331
weighted_hva_p3,1,30,1.008780563155147,1.9036763215796544,1.1979784584010296
weighted_hva_p3,2,44,0.11134343961327273,0.28246270128968576,0.14297744719987363
weighted_hva_p3,3,50,0.054886534913923875,0.10972092640506305,0.0633640555554566
weighted_hva_p3,4,30,0.037260640026841416,0.06731814768575395,0.03973334584335201
weighted_hva_p3,5,15,0.031294302979831365,0.049525749407144645,0.03336869369234848
weighted_hva_p3,6,2,0.03168970817085208,0.03218181424684014,0.03169352887173963
weighted_hva_p4,1,30,1.0064263059871652,1.9015035457955798,1.1964516050579705
weighted_hva_p4,2,44,0.1090048748850799,0.275684421069757,0.14059622103548758
weighted_hva_p4,3,50,0.05344173798501631,0.10368197760165627,0.060953753565930954
weighted_hva_p4,4,30,0.03671451164057862,0.06644948755206281,0.03915924271952106
weighted_hva_p4,5,15,0.03079545464858668,0.04876202496984895,0.032866101092080074
weighted_hva_p4,6,2,0.03106405173677236,0.0316151996698782,0.03106894066988826
