method,energy_unscaled_pauli,error_vs_exact,fidelity,calibration,status
Static dimer,-26.999999999999996,2.146168109350139,0.014241118042027894,none,computed
Equal RVB-54,-26.39781306951313,2.748355039837005,0.004371430408626647,none,computed
Weighted RVB-54,-29.012072100265303,0.134096009084832,0.9785359936363724,none,computed
Weighted RVB + HVA p=1,-29.023026272025263,0.12314183732487294,0.9799953821695748,none,computed
Weighted RVB + HVA p=2,-29.036331824193137,0.10983628515699806,0.9824457102061483,none,computed
Weighted RVB + HVA p=3,-29.037493973405034,0.10867413594510111,0.9824422649912072,none,computed
Weighted RVB + HVA p=4,-29.03760135180207,0.10856675754806488,0.9825184400877967,none,computed
Calibrated Hamiltonian scan (triangle_4_6-7-8),-29.146131112513054,3.6996837081915146e-05,0.9999655151547645,triangle Jprime=1.02,computed
