site,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18
0,3.0,-1.0673072291397157,0.05886067383690973,0.06181079540143969,-0.034561645297852425,0.032937164159341184,-0.020348631430999055,0.023612974575579256,-0.018564933872128767,0.03554834537026359,-0.06593111092137015,0.1269949700744643,0.08237265208791425,-0.009804054032138583,-0.0004888002247521032,0.05063180015133191,-0.039903769931206506,-1.8778022927591125,0.2259844431394995
1,-1.0673072291397157,3.0,-1.295779934072791,0.05886067354320993,0.023088264648544722,-0.01740615068476399,0.027288069304362256,-0.0356549669942679,0.04625154666210948,-0.06593111097027488,0.21710838507178634,-0.7926396531449968,-0.13456598346551402,0.08237265198376263,-0.05591227487224866,0.012771986508168276,0.011116357464030717,0.02251025307538264,-0.04035874787591587
2,0.05886067383690973,-1.295779934072791,3.0,-1.0673072284894425,0.02251025236035606,-0.0403587473751346,0.011116356984579488,0.012771986808411127,-0.05591227520104362,0.08237265215447556,-0.1345659834033031,-0.7926396526741408,0.2171083849960975,-0.06593111100997587,0.04625154660316433,-0.035654966878679,0.027288069084757723,0.023088264300370073,-0.017406150495728377
3,0.06181079540143969,0.05886067354320993,-1.0673072284894425,3.0,-1.877802292705462,0.22598444255591432,-0.03990376935398833,0.050631799915376335,-0.0004887998703221074,-0.009804054084431562,0.08237265183394446,0.12699497012878744,-0.06593111092337256,0.03554834591607771,-0.018564934116088685,0.023612974773430873,-0.020348631428476715,-0.034561645265096294,0.03293716414982699
4,-0.034561645297852425,0.023088264648544722,0.02251025236035606,-1.877802292705462,3.0,-1.3331227842414413,0.013578803221754237,-0.03800970893768342,0.009624598794771223,-0.0004888002155272911,-0.055912274829268874,-0.05021629888186889,0.04625154659024637,-0.01856493416816593,0.007968044245946725,-0.012634829621956901,0.009509157855933963,0.012582569504071927,-0.014363696448301318
5,0.032937164159341184,-0.01740615068476399,-0.0403587473751346,0.22598444255591432,-1.3331227842414413,3.0,-1.603869157566444,0.22234828955347197,-0.03800970892570999,0.05063180023600885,0.012771986400840417,0.06628478302229387,-0.03565496680038257,0.023612974862856385,-0.01263482961202179,0.017231752303467462,-0.013095714288264953,-0.014363696388723075,0.0173629938138445
6,-0.020348631430999055,0.027288069304362256,0.011116356984579488,-0.03990376935398833,0.013578803221754237,-1.603869157566444,3.0,-1.6038691573782131,0.013578804086990932,-0.03990377048839315,0.011116357907746824,-0.06954050530717641,0.02728806880927985,-0.02034863140487001,0.009509157822656968,-0.013095714220140353,0.009803394542825639,0.009509157832927006,-0.013095714265465932
7,0.023612974575579256,-0.0356549669942679,0.012771986808411127,0.050631799915376335,-0.03800970893768342,0.22234828955347197,-1.6038691573782131,3.0,-1.3331227852874752,0.22598444365989517,-0.04035874826949279,0.06628478301475513,-0.01740615028788476,0.032937163989529256,-0.014363696306263227,0.017362993539832977,-0.013095714167496539,-0.01263482949887755,0.017231752143816722
8,-0.018564933872128767,0.04625154666210948,-0.05591227520104362,-0.0004887998703221074,0.009624598794771223,-0.03800970892570999,0.013578804086990932,-1.3331227852874752,3.0,-1.8778022927491749,0.02251025353283502,-0.050216298662898125,0.02308826409417417,-0.03456164513330637,0.012582569394080248,-0.014363696185160753,0.009509157763401034,0.007968044155896907,-0.012634829498005318
9,0.03554834537026359,-0.06593111097027488,0.08237265215447556,-0.009804054084431562,-0.0004888002155272911,0.05063180023600885,-0.03990377048839315,0.22598444365989517,-1.8778022927491749,3.0,-1.0673072295825297,0.12699497000578297,0.05886067407310844,0.06181079523687005,-0.03456164514672648,0.032937163864763364,-0.020348631325070293,-0.01856493392344622,0.02361297458662403
10,-0.06593111092137015,0.21710838507178634,-0.1345659834033031,0.08237265183394446,-0.055912274829268874,0.012771986400840417,0.011116357907746824,-0.04035874826949279,0.02251025353283502,-1.0673072295825297,3.0,-0.7926396531605671,-1.295779934229608,0.05886067368619496,0.023088264563210607,-0.017406150485854678,0.027288069070184443,0.04625154659374865,-0.035654966910658795
11,0.1269949700744643,-0.7926396531449968,-0.7926396526741408,0.12699497012878744,-0.05021629888186889,0.06628478302229387,-0.06954050530717641,0.06628478301475513,-0.050216298662898125,0.12699497000578297,-0.7926396531605671,3.0,-0.7926396524757527,0.12699497005975502,-0.05021629881333574,0.06628478294657758,-0.06954050527593289,-0.05021629874342402,0.06628478302236546
12,0.08237265208791425,-0.13456598346551402,0.2171083849960975,-0.06593111092337256,0.04625154659024637,-0.03565496680038257,0.02728806880927985,-0.01740615028788476,0.02308826409417417,0.05886067407310844,-1.295779934229608,-0.7926396524757527,3.0,-1.067307228606141,0.022510252409857334,-0.04035874765211907,0.011116357341027571,-0.055912275108985346,0.012771986761369383
13,-0.009804054032138583,0.08237265198376263,-0.06593111100997587,0.03554834591607771,-0.01856493416816593,0.023612974862856385,-0.02034863140487001,0.032937163989529256,-0.03456164513330637,0.06181079523687005,0.05886067368619496,0.12699497005975502,-1.067307228606141,3.0,-1.877802292615672,0.22598444299660994,-0.03990376985131738,-0.0004887999898764316,0.050631800030721284
14,-0.0004888002247521032,-0.05591227487224866,0.04625154660316433,-0.018564934116088685,0.007968044245946725,-0.01263482961202179,0.009509157822656968,-0.014363696306263227,0.012582569394080248,-0.03456164514672648,0.023088264563210607,-0.05021629881333574,0.022510252409857334,-1.877802292615672,3.0,-1.3331227847738074,0.013578803779758954,0.009624598878729426,-0.0380097090436909
15,0.05063180015133191,0.012771986508168276,-0.035654966878679,0.023612974773430873,-0.012634829621956901,0.017231752303467462,-0.013095714220140353,0.017362993539832977,-0.014363696185160753,0.032937163864763364,-0.017406150485854678,0.06628478294657758,-0.04035874765211907,0.22598444299660994,-1.3331227847738074,3.0,-1.603869157580945,-0.03800970897038453,0.22234828962314238
16,-0.039903769931206506,0.011116357464030717,0.027288069084757723,-0.020348631428476715,0.009509157855933963,-0.013095714288264953,0.009803394542825639,-0.013095714167496539,0.009509157763401034,-0.020348631325070293,0.027288069070184443,-0.06954050527593289,0.011116357341027571,-0.03990376985131738,0.013578803779758954,-1.603869157580945,3.0,0.013578803605747166,-1.603869157423532
