layers,energy,exact_energy,error,fidelity,entropy,evaluations,success
0,-1.4999999999999993,-2.2500000000000004,0.7500000000000011,0.06250000000000022,1.0000000000000002,1,True
1,-2.2499685778795753,-2.2500000000000004,3.1422120425173006e-05,0.9999836697999344,1.0002866335572056,360,False
2,-2.2499964474542042,-2.2500000000000004,3.5525457962037876e-06,0.999997165864487,1.0000161422989624,360,False
