scan_mode,scan_label,calibrated_bond_indices,calibrated_bonds,scan_group,jprime,calibrated_hamiltonian_energy,target_energy,target_energy_error,target_fidelity,reference_energy,pauli_scale
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.0,-29.146168109350075,-29.146168109350093,4.263256414560601e-14,1.0000000000000004,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.02,-29.229610840813105,-29.13114842485313,0.015019684497005414,0.9146314398514728,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.04,-29.33956508456877,-29.1001473423762,0.04602076697393542,0.7668699489353454,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.05,-29.40133962012412,-29.083510863955006,0.06265724539512973,0.7043207848218661,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.06,-29.466485292662576,-29.066647470097593,0.07952063925254294,0.651766623356305,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.08,-29.604959341064948,-29.031856243262094,0.11431186608804111,0.5703213717574822,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.1,-29.752472332361403,-28.9947355755181,0.15143253383203614,0.5101671575793193,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.15,-30.153732455606104,-28.886611806891118,0.25955630245901773,0.4065752860870115,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.2,-30.595739778933815,-28.75087785227447,0.3952902570756649,0.3317789256029693,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.25,-31.075599663085193,-28.584028537099183,0.5621395722509526,0.26666862107951333,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.3,-31.592130041307122,-28.38384888896471,0.7623192203854252,0.2027242406083942,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.4,-32.73475879523609,-27.879994555449272,1.2661735539008632,0.06689154119456238,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.5,-34.00031425538158,-27.462654783985357,1.6835133253647783,0.012774390438598278,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.75,-37.44660313028101,-26.655285462913504,2.4908826464366314,0.0015168939614128765,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,1.95,-40.39999444369223,-26.046402698685025,3.0997654106651105,0.0007893695948797382,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,2.1,-42.698627939797795,-25.62207391745764,3.5240941918924946,0.0006070507494498412,-29.146168109350135,1.0
group,color0,0 1 2 3 4 5,1-2 4-6 8-10 11-12 14-16 17-18,color0,2.3,-45.84857053308615,-25.10683772931334,4.039330380036795,0.00048763930665761575,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.0,-29.146168109350015,-29.146168109350086,4.973799150320701e-14,1.0,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.02,-29.185775403553173,-29.142223516874747,0.003944592475388475,0.9949665663177157,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.04,-29.233460991107854,-29.129630113375036,0.016537995975099307,0.9789022503376363,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.05,-29.26051263947093,-29.119723233409733,0.026444875940402568,0.9664480755221927,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.06,-29.289801620685115,-29.107205582788854,0.03896252656128141,0.9510374884422574,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.08,-29.35539718050792,-29.073663893083953,0.0725042162661822,0.9117541102804148,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.1,-29.430899792202947,-29.02740530904724,0.11876280030289621,0.8621188212081675,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.15,-29.66879412150507,-28.835335226773285,0.31083288257685027,0.6860497223555487,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.2,-30.065569665545258,-28.06916168363004,1.0770064257200964,0.0014807928858766375,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.25,-30.583940256310786,-27.907897523075324,1.2382705862748118,0.0008273304335997182,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.3,-31.133773527285484,-27.750617509321177,1.3955506000289581,0.0007071537521496305,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.4,-32.3123398443216,-27.407001243005162,1.7391668663449735,0.0005920643542177666,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.5,-33.5805113680325,-27.044691759615436,2.1014763497346998,0.0004951455759118513,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.75,-37.03939938921073,-26.180410368568495,2.9657577407816405,0.0003083865936824319,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,1.95,-40.012279717853204,-25.564638407504788,3.581529701845348,0.00021927750984658106,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,2.1,-42.32537749592094,-25.1462445448771,3.999923564473036,0.00017528759910041106,-29.146168109350135,1.0
group,color1,6 7 8 9 10 11,0-1 2-4 6-8 10-11 12-14 16-17,color1,2.3,-45.493016856060166,-24.642304620841987,4.5038634885081485,0.00013521293483531986,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.0,-29.146168109350064,-29.14616810935009,4.618527782440651e-14,1.0000000000000004,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.02,-29.528980466697792,-29.085941427393994,0.06022668195614145,0.6383670376761845,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.04,-29.988796316145123,-29.04610865774112,0.10005945160901675,0.49580638759105433,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.05,-30.226316677713825,-29.030430320913542,0.11573778843659355,0.4596162191978064,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.06,-30.46685748254093,-29.016113426864063,0.13005468248607244,0.43292946785833314,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.08,-30.95442957888141,-28.990195139319177,0.1559729700309589,0.3952953702970182,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.1,-31.448239972613674,-28.966786730684397,0.1793813786657381,0.3693263987250923,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.15,-32.70046327024924,-28.91520174387473,0.23096636547540683,0.3281315246558588,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.2,-33.96917699712888,-28.869922290354438,0.27624581899569733,0.3028899592724203,-29.146168109350135,1.0
group,color2,12 13 14 15 16 17 18 19 20,2-3 4-5 6-7 8-9 10-12 13-14 15-16 1-11 0-17,color2,1.25,-35.24883161483702,-28.828688022409743,0.3174800869403924,0.2852670548865303,-29.146168109350135,1.0
