initialization,depth,parameters,local_boosters,parameter_layout_per_layer,triangle,triangle_bonds,bond_booster,energy,error_vs_reference,error_vs_current_hva_p4,beats_current_hva_p4,energy_improvement_vs_initial,energy_improvement_vs_previous_depth,evaluations,optimizer_converged,energy_improved,energy_improved_vs_initial,energy_improved_vs_previous,message,best_parameters,bond_corr_min,bond_corr_max,bond_corr_mean,bond_corr_std,af_weight_participation,af_participation_ratio,strong_dimer_count,strong_dimer_fraction,strong_dimer_af_weight_fraction,fidelity,entropy,max_magnetization
weighted_rvb_54,0,0,triangle_6-7-8,"color0,color1,color2,color3,triangle_6-7-8",6-7-8,6-7 6-8 7-8,,-29.012072100265254,0.13409600908488173,0.02552925153674579,False,0.0,0.0,1,True,False,False,False,initial state; target Hamiltonian unchanged,,-1.9200378240540292,0.1285387380446028,-0.9670690700088421,0.7331326092594236,20.429002923995508,0.6809667641331836,0.0,0.0,0.0,0.9785359936363713,3.129501929280884,0.10775457344487527
weighted_rvb_54,1,5,triangle_6-7-8,"color0,color1,color2,color3,triangle_6-7-8",6-7-8,6-7 6-8 7-8,,-29.023026275857923,0.12314183349221253,0.014575075944076588,False,0.010954175592669202,0.010954175592669202,3195,True,True,True,True,Optimization terminated successfully.,0.04066284863 0.04021123232 0.04198265456 0.04191065298 3.275741965e-05,-1.9328240594508692,0.13052693175528338,-0.9674342091952639,0.7221526637084681,20.405926963658544,0.6801975654552848,0.0,0.0,0.0,0.9799954076579789,3.1295831903218647,0.10752929944208785
weighted_rvb_54,2,10,triangle_6-7-8,"color0,color1,color2,color3,triangle_6-7-8",6-7-8,6-7 6-8 7-8,,-29.0364378198517,0.10973028949843666,0.0011635319503007224,False,0.024365719586445067,0.013411543993775865,8400,False,True,True,True,Maximum number of function evaluations has been exceeded.,0.03350882999 0.05260956407 -0.006262863971 0.0396489848 0.006231927561 0.03095511149 0.01096551609 0.07376824074 0.02713843625 -0.00178782598,-1.9051365280268495,0.10869018783908423,-0.9678812606617234,0.7080080676266202,20.436125193946065,0.6812041731315355,0.0,0.0,0.0,0.9824458278944631,3.139648433003956,0.10776779975550754
