scan_mode,best_scan_label,jprime,target_energy,target_energy_error,target_fidelity
bond,bond_4_14-16,1.02,-29.145658573839782,0.0005095355103534871,0.9996260463299362
group,color1,1.02,-29.142223516874747,0.003944592475388475,0.9949665663177157
triangle,triangle_4_6-7-8,1.02,-29.146131112513054,3.6996837081915146e-05,0.9999655151547645
