coverings,stable_rank,overlap_condition,overlap_threshold,equal_energy,equal_error,equal_fidelity,equal_entropy,equal_max_magnetization,equal_bond_corr_min,equal_bond_corr_max,equal_bond_corr_mean,equal_bond_corr_std,equal_af_weight_participation,equal_strong_dimer_count,optimized_energy,optimized_error,optimized_fidelity,optimized_entropy,optimized_max_magnetization,optimized_bond_corr_min,optimized_bond_corr_max,optimized_bond_corr_mean,optimized_bond_corr_std,optimized_af_weight_participation,optimized_strong_dimer_count
1,1,1.0,1e-10,-27.000000000000004,2.146168109350132,0.0142411180420279,1.0,0.5000000000000001,-3.000000000000001,0.0,-0.9000000000000002,1.3747727084867525,9.0,9.0,-27.000000000000004,2.146168109350132,0.0142411180420279,1.0,0.5000000000000001,-3.000000000000001,0.0,-0.9000000000000002,1.3747727084867525,9.0,9.0
2,2,2.9999999999999996,1e-10,-26.999999999999993,2.1461681093501426,0.026995045383158417,1.0,0.33333333333333326,-3.0000000000000004,1.0,-0.9000000000000001,1.3747727084867525,9.799999999999999,8.0,-26.999999999999993,2.1461681093501426,0.026995045383158417,1.0,0.33333333333333326,-3.0000000000000004,1.0,-0.9000000000000001,1.3747727084867525,9.799999999999999,8.0
8,5,3.929553313767475,1e-10,-26.99999999999999,2.146168109350146,0.002411335541914724,1.0000000000000002,0.20833333333333334,-2.999999999999999,0.24999999999999997,-0.8999999999999998,1.1572461924759136,11.581599854448422,6.0,-26.999999999999993,2.1461681093501426,0.010990293909752098,1.0,0.33562680871183653,-3.0000000000000004,0.38480613096434574,-0.9000000000000001,1.28538113932085,10.49058437353558,8.0
12,7,4.32333143547628,1e-10,-26.999999999999986,2.1461681093501497,0.005566544073349218,1.1631234731241709,0.13888888888888884,-2.9999999999999996,0.1666666666666666,-0.8999999999999998,1.02835452098648,13.189763851238094,5.0,-27.0,2.1461681093501355,0.05179734806030633,0.6344548122402343,0.4094144297659622,-2.999999999999999,0.4379553990884321,-0.9,1.2873258259423406,10.434620707283909,9.0
16,9,4.541245962699904,1e-10,-26.98437500000002,2.161793109350114,0.005389749557416729,1.5088487407972182,0.1041666666666667,-3.0000000000000018,0.12500000000000017,-0.8994791666666673,0.9040833606225951,15.086442519008767,5.0,-27.124999999999996,2.021168109350139,0.1971409659785373,1.5000000000000657,0.16666666666670027,-3.0000000000000004,1.5358047231080418e-13,-0.9041666666666666,1.0163677839356293,13.25330706445281,4.0
24,14,7.1569266153291355,1e-10,-26.983899821109144,2.162268288240991,0.0007715956883986015,2.1360738099753362,0.1283542039355993,-3.0,5.551115123125783e-17,-0.8994633273703043,0.7418178818694031,17.855166285646437,3.0,-28.383514650644713,0.7626534587054223,0.2352666881579753,0.9154714984475603,0.33966536524007074,-3.000000000000001,0.20896082762703788,-0.9461171550214902,1.3108618342426492,10.489828456011121,9.0
32,21,9.224804871012239,1e-10,-26.724511491343502,2.421656618006633,0.0006433360379999117,2.4399305422535074,0.1085856029158651,-2.863926293408927,-0.051938847828287886,-0.8908170497114499,0.7034396641151145,18.477938618777983,2.0,-28.835378365791627,0.31078974355850875,0.4980889985365459,2.1236809756025807,0.17932509565800614,-2.926626025864805,0.23629815418227262,-0.961179278859721,1.136217286925492,13.61033002237324,8.0
54,36,10.518020319715903,1e-10,-26.397813069513184,2.7483550398369516,0.004371430408626653,3.3661536523105564,0.12984899765686067,-1.7409528768549878,0.18745118458734733,-0.8799271023171059,0.5577086075562161,21.86959358606931,0.0,-29.012072100265186,0.13409600908494923,0.978535993636368,3.1295019292808806,0.1077545734448753,-1.9200378240540246,0.12853873804460247,-0.9670690700088392,0.7331326092594214,20.429002923995505,0.0
