initialization,depth,parameters,energy,error_vs_reference,energy_improvement_vs_initial,energy_improvement_vs_previous_depth,evaluations,optimizer_converged,energy_improved,energy_improved_vs_initial,energy_improved_vs_previous,message,best_parameters,bond_corr_min,bond_corr_max,bond_corr_mean,bond_corr_std,af_weight_participation,strong_dimer_count,fidelity,entropy,max_magnetization
weighted_rvb_54,0,0,-29.01207210026519,0.13409600908494568,0.0,0.0,1,True,False,False,False,initial state,,-1.9200378240540252,0.12853873804460247,-0.9670690700088397,0.7331326092594217,20.42900292399551,0.0,0.9785359936363682,3.1295019292808814,0.1077545734448753
weighted_rvb_54,1,4,-29.023009320739114,0.12315878861102192,0.010937220473923759,0.010937220473923759,280,False,True,True,True,Maximum number of function evaluations has been exceeded.,0.04011564478 0.03935781314 0.04122552381 0.04118763619,-1.9323762361274888,0.13011902170845546,-0.9674336440246372,0.7225359027894059,20.406920623107904,0.0,0.9800012551042729,3.1295624281330796,0.10753464607781604
weighted_rvb_54,2,8,-29.025514415750063,0.12065369360007239,0.01344231548487329,0.002505095010949532,350,False,True,True,True,Maximum number of function evaluations has been exceeded.,0.03722761169 0.04129323233 0.03495255594 0.04573162882 0.03022376516 0.02648027439 0.03668727285 0.02474504253,-1.9332356385919924,0.12307158478933773,-0.9675171471916687,0.7147781270274349,20.40195827989482,0.0,0.9800829284384048,3.138013180046458,0.10682921894321003
