initialization,depth,parameters,energy,error_vs_reference,energy_improvement_vs_initial,energy_improvement_vs_previous_depth,evaluations,optimizer_converged,energy_improved,energy_improved_vs_initial,energy_improved_vs_previous,message,best_parameters,bond_corr_min,bond_corr_max,bond_corr_mean,bond_corr_std,af_weight_participation,strong_dimer_count,fidelity,entropy,max_magnetization
weighted_rvb_54,0,0,-29.012072100265254,0.13409600908488173,0.0,0.0,1,True,False,False,False,initial state,,-1.9200378240540292,0.1285387380446028,-0.9670690700088421,0.7331326092594236,20.429002923995508,0.0,0.9785359936363713,3.129501929280884,0.10775457344487527
weighted_rvb_54,1,4,-29.023026272025277,0.12314183732485873,0.010954171760023002,0.010954171760023002,2561,True,True,True,True,Optimization terminated successfully.,0.04066180163 0.04021237388 0.04198099021 0.04191229133,-1.9328248439950155,0.1305264350137196,-0.9674342090675091,0.7221528257052053,20.405928082052327,0.0,0.9799953821695906,3.1295834407575267,0.1075292774014949
weighted_rvb_54,2,8,-29.03633182419308,0.1098362851570549,0.024259723927826826,0.013305552167803825,12655,True,True,True,True,Optimization terminated successfully.,0.03392185172 0.05370137359 -0.004107638306 0.04067841426 0.03114407268 0.01047278023 0.07209127399 0.02663287923,-1.9094963824621347,0.10878745216089598,-0.9678777274731026,0.7082152983405834,20.43353145725186,0.0,0.9824457102057614,3.1406908695585822,0.10771026260649058
weighted_rvb_54,3,12,-29.03749397340527,0.10867413594486663,0.025421873140015094,0.0011621492121882682,12800,False,True,True,True,Maximum number of function evaluations has been exceeded.,0.02907921105 0.06376387569 -0.0007860864583 0.001765398665 0.02153578153 -0.004564198355 0.02839726012 0.07110576852 0.02503328897 0.01545148334 0.05162441919 0.003643568113,-1.903676321582406,0.11166697739525984,-0.9679164657801753,0.705896665287589,20.442665416345974,0.0,0.982442264992068,3.1419208215836547,0.10681054870720602
weighted_rvb_54,4,16,-29.03760135180211,0.1085667575480258,0.025529251536855924,0.00010737839684082928,12800,False,True,True,True,Maximum number of function evaluations has been exceeded.,0.02306421692 0.06332135543 -0.0009225361344 0.001543417391 0.02543200708 -0.005859646768 0.02774985524 0.07544270219 0.02051658054 0.01418861819 0.05575293228 0.003245428046 0.0331852811 0.02996929695 0.02396999474 0.02423474085,-1.9015035458071023,0.10180784019567791,-0.9679200450600701,0.7032973977044933,20.443456304839987,0.0,0.9825184400866964,3.155489256475759,0.1054898378969259
