state,cut,entropy
exact,1,0.9743485608727043
exact,4,2.9249592647138742
exact,7,3.1209673394951287
exact,9,3.2126694232802486
exact,12,2.276849305927917
exact,15,1.9222569949019268
exact,18,0.9746578886948085
static_dimer,1,1.0
static_dimer,4,1.6017132519074586e-16
static_dimer,7,1.0
static_dimer,9,1.0
static_dimer,12,4.805139755722375e-16
static_dimer,15,1.0
static_dimer,18,1.6017132519074586e-16
equal_rvb_54,1,0.993636356186514
equal_rvb_54,4,2.8063364055625564
equal_rvb_54,7,3.42964999288505
equal_rvb_54,9,3.3661536523105555
equal_rvb_54,12,2.2752267613052712
equal_rvb_54,15,2.268494556621662
equal_rvb_54,18,0.9999418030856166
weighted_rvb_54,1,0.9662333237352037
weighted_rvb_54,4,2.8663107954878893
weighted_rvb_54,7,3.0346089343319917
weighted_rvb_54,9,3.129501929280882
weighted_rvb_54,12,2.1960099423564277
weighted_rvb_54,15,1.8497938790631416
weighted_rvb_54,18,0.9675917350703904
weighted_hva_p1,1,0.966398677689537
weighted_hva_p1,4,2.8414151099671976
weighted_hva_p1,7,3.0369024277622874
weighted_hva_p1,9,3.12958344075731
weighted_hva_p1,12,2.202533350846911
weighted_hva_p1,15,1.846993229100628
weighted_hva_p1,18,0.9678055857168492
weighted_hva_p2,1,0.9662613103786593
weighted_hva_p2,4,2.870103000047367
weighted_hva_p2,7,3.048371733375821
weighted_hva_p2,9,3.140690869558959
weighted_hva_p2,12,2.2094275207872425
weighted_hva_p2,15,1.8580657950395516
weighted_hva_p2,18,0.9704692709519902
weighted_hva_p3,1,0.9668269986886202
weighted_hva_p3,4,2.872178681080122
weighted_hva_p3,7,3.05025827787823
weighted_hva_p3,9,3.141920821583991
weighted_hva_p3,12,2.213169881239316
weighted_hva_p3,15,1.8638080812570834
weighted_hva_p3,18,0.9706517762058694
weighted_hva_p4,1,0.9676485206120111
weighted_hva_p4,4,2.879850152313106
weighted_hva_p4,7,3.06341253330225
weighted_hva_p4,9,3.155489256477035
weighted_hva_p4,12,2.224499606736437
weighted_hva_p4,15,1.8720001156416854
weighted_hva_p4,18,0.970936742450886
