initialization,depth,parameters,energy,error_vs_reference,energy_improvement_vs_initial,energy_improvement_vs_previous_depth,evaluations,optimizer_converged,energy_improved,energy_improved_vs_initial,energy_improved_vs_previous,message,best_parameters,bond_corr_min,bond_corr_max,bond_corr_mean,bond_corr_std,af_weight_participation,strong_dimer_count,fidelity,entropy,max_magnetization
weighted_rvb_54,0,0,-29.012072100265254,0.13409600908488173,0.0,0.0,1,True,False,False,False,initial state,,-1.9200378240540292,0.1285387380446028,-0.9670690700088421,0.7331326092594236,20.429002923995508,0.0,0.9785359936363713,3.129501929280884,0.10775457344487527
weighted_rvb_54,1,4,-29.02302627228384,0.12314183706629578,0.01095417201858595,0.01095417201858595,3993,True,True,True,True,Optimization terminated successfully.,-0.04066150051 -0.04021103433 -0.04198129039 -0.04191041999,-1.932825399682514,0.1305263488840975,-0.967434209076128,0.7221533157246208,20.405927668261228,0.0,0.9799954086375657,3.1295832634491427,0.10752930521281553
weighted_rvb_54,2,8,-29.036322417211768,0.10984569213836792,0.024250316946513806,0.013296144927927855,12800,False,True,True,True,Maximum number of function evaluations has been exceeded.,-0.03339038857 -0.05429124767 0.002636404019 -0.04153823886 -0.03199397651 -0.01022267931 -0.0709596665 -0.02589208106,-1.910118056022684,0.10835657452030148,-0.9678774139070587,0.708214999711409,20.43317725291,0.0,0.9824103219419597,3.1411733553693195,0.1076603374944245
weighted_rvb_54,3,12,-29.036993089764966,0.10917501958516951,0.02492098949971222,0.0006706725531984148,12800,False,True,True,True,Maximum number of function evaluations has been exceeded.,0.02728252755 0.0541415498 -0.001128422535 0.03180003587 0.0305833834 0.009387594383 0.04054054186 0.02846996424 0.01510071914 0.008822951999 0.03684391326 0.01492656747,-1.9087827866774147,0.10965969308424856,-0.967899769658832,0.7066829766282617,20.43675591234022,0.0,0.9825566523550237,3.1435747996842585,0.1069696385259363
weighted_rvb_54,4,16,-29.036993089764966,0.10917501958516951,0.02492098949971222,0.0,12800,False,True,True,False,Maximum number of function evaluations has been exceeded. fallback_candidate_selected,0.02728252755 0.0541415498 -0.001128422535 0.03180003587 0.0305833834 0.009387594383 0.04054054186 0.02846996424 0.01510071914 0.008822951999 0.03684391326 0.01492656747 0 0 0 0,-1.9087827866774147,0.10965969308424856,-0.967899769658832,0.7066829766282617,20.43675591234022,0.0,0.9825566523550237,3.1435747996842585,0.1069696385259363
