state,depth,circuit_refinement,calibration,energy_unscaled_pauli,error_vs_exact,energy_physical_spin,error_physical_spin,gap_closed_vs_static_percent,fidelity,entropy_midcut,entropy_selected_cut_mean,entropy_selected_cut_max,max_magnetization,sector_weight,bond_corr_min,bond_corr_max,bond_corr_mean,bond_corr_std,af_weight_participation,strong_dimer_count,bond_corr_l2_error,bond_corr_mae,bond_corr_pearson_corr,magnetization_l2_error,magnetization_mae,notes
Static dimer,0,none,none,-26.999999999999996,2.146168109350139,-6.749999999999999,0.5365420273375348,0.0,0.014241118042027894,1.0,0.5714285714285714,1.0,0.49999999999999994,0.9999999999999998,-2.9999999999999996,0.0,-0.8999999999999999,1.3747727084867518,9.0,9.0,7.884171739945667,1.204997461480615,0.14953931678175442,0.4927899430338767,0.07369703319027103,Greedy 9-singlet product state.
Equal RVB-54,0,none,none,-26.39781306951313,2.748355039837005,-6.599453267378283,0.6870887599592512,-28.05870275787521,0.004371430408626647,3.366153652310554,2.3056342182796032,3.42964999288505,0.12984899765686186,0.9999999999999998,-1.7409528768549842,0.18745118458734716,-0.8799271023171044,0.5577086075562151,21.869593586069307,0.0,3.0482386483643817,0.4288372368361603,0.6169227111467575,0.2670215735010173,0.04745602654678524,Equal superposition of all deterministic maximum dimer coverings.
Weighted RVB-54,0,none,none,-29.012072100265303,0.134096009084832,-7.253018025066326,0.033524002271208,93.75184038470145,0.9785359936363724,3.1295019292808886,2.1442929341894206,3.1295019292808886,0.10775457344487538,1.000000000000003,-1.9200378240540317,0.12853873804460295,-0.9670690700088435,0.7331326092594245,20.42900292399551,0.0,0.35661775738063506,0.05525155426844011,0.9993022562427637,0.05067815539752303,0.011060407847331912,Classical generalized-eigenproblem initializer in the 54-covering dimer subspace.
Weighted RVB + HVA p=1,1,edge-colored Heisenberg HVA,none,-29.023026272025263,0.12314183732487294,-7.255756568006316,0.030785459331218235,94.26224642942064,0.9799953821695748,3.1295834407573158,2.141661688834391,3.1295834407573158,0.10752927740143493,1.0000000000000018,-1.9328248439928055,0.13052643501287192,-0.9674342090675088,0.7221528257057303,20.405928082054313,0.0,0.30175953455184085,0.04450487132199508,0.9993087526034451,0.046727824928755976,0.010201316880300801,Cached fixed-Sz Heisenberg-HVA refinement from 19site_heisenberg_hva_fast_weighted_p4_neldermead_mi800_r6_seed123_20260703_012608.csv.
Weighted RVB + HVA p=2,2,edge-colored Heisenberg HVA,none,-29.036331824193137,0.10983628515699806,-7.259082956048284,0.027459071289249515,94.88221427396681,0.9824457102061483,3.1406908695589646,2.15191278573423,3.1406908695589646,0.10771026260588326,1.0000000000000027,-1.9094963824610331,0.10878745215962977,-0.9678777274731046,0.7082152983394847,20.433531457255125,0.0,0.22599137509072004,0.03492622448134099,0.9994770764252938,0.0412272550998809,0.008874142759783911,Cached fixed-Sz Heisenberg-HVA refinement from 19site_heisenberg_hva_fast_weighted_p4_neldermead_mi800_r6_seed123_20260703_012608.csv.
Weighted RVB + HVA p=3,3,edge-colored Heisenberg HVA,none,-29.037493973405034,0.10867413594510111,-7.259373493351259,0.02716853398627528,94.93636423579103,0.9824422649912072,3.1419208215839927,2.154116359704749,3.1419208215839927,0.10681054870755205,0.9999999999999998,-1.9036763215796602,0.11166697739508258,-0.9679164657801678,0.7058966652878773,20.44266541634839,0.0,0.21687398705619737,0.03330196935462054,0.9994540357352953,0.03942336619347041,0.008481869432487632,Cached fixed-Sz Heisenberg-HVA refinement from 19site_heisenberg_hva_fast_weighted_p4_neldermead_mi800_r6_seed123_20260703_012608.csv.
Weighted RVB + HVA p=4,4,edge-colored Heisenberg HVA,none,-29.03760135180207,0.10856675754806488,-7.259400337950518,0.02714168938701622,94.94136749702524,0.9825184400877967,3.1554892564770354,2.1619767039333446,3.1554892564770354,0.10548983789817806,1.0000000000000022,-1.9015035457955858,0.10180784018916134,-0.967920045060069,0.7032973977036435,20.443456304847142,0.0,0.1985434735029632,0.03056538980924375,0.9995504524349555,0.035945377921564145,0.00772158979125218,Cached fixed-Sz Heisenberg-HVA refinement from 19site_heisenberg_hva_fast_weighted_p4_neldermead_mi800_r6_seed123_20260703_012608.csv.
Exact,exact,reference,none,-29.146168109350093,4.263256414560601e-14,-7.286542027337523,1.0658141036401503e-14,99.99999999999801,0.9999999999999993,3.2126694232802486,2.2009583968409445,3.2126694232802486,0.09400689198870794,1.0000000000000002,-1.8778022927591127,0.022510253532835,-0.9715389369783364,0.6737191346697468,20.460732391915613,0.0,0.0,0.0,1.0,0.0,0.0,Sparse exact diagonalization in the n_down=9 fixed-Sz sector.
