site,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18
0,3.0,-1.1235855515344368,0.07403397740918609,0.09030582006901558,-0.051365252723422114,0.05669151685967006,-0.035454196664559894,0.049525749407144756,-0.038076789602448646,0.06731814768575434,-0.08012236399283774,0.13318576636431906,0.10931406175010014,0.033141227583751015,-0.03371787999946664,0.09767524292267123,-0.0914241800174592,-1.892000519439978,0.27541851616830737
1,-1.1235855515344368,3.0,-1.2964502472715533,0.04576028920530474,0.02133968728243673,-0.010262596361879959,0.024203191217596454,-0.03646992093184168,0.04324236723502734,-0.06740689481909078,0.27263373677402325,-0.7559400113050827,-0.24010829757599045,0.08633864709372621,-0.045442046534061004,0.006244413199715951,0.014774954357927247,0.11166697739508258,-0.09182448650996373
2,0.07403397740918609,-1.2964502472715533,3.0,-1.071788307320389,0.05938348635594892,-0.08240182070346806,0.01700693372305713,0.006941640092638532,-0.04388268734385885,0.08276185281042489,-0.20852785931012863,-0.7965039301537261,0.28246270128968665,-0.0721906479280221,0.04693345524205421,-0.036369400893653876,0.02516478454599195,-0.008749543541517062,-0.006814312453674004
3,0.09030582006901558,0.04576028920530474,-1.071788307320389,3.0,-1.9001515942835692,0.2739831827351814,-0.09362993925117699,0.09881896605572393,-0.03318629669728343,0.03397602304862161,0.09512381086904609,0.1210220502051536,-0.07303910555661339,0.06668223975982367,-0.03823069497697862,0.04848810466136372,-0.035034612455355774,-0.05199341185822636,0.0581467336530286
4,-0.051365252723422114,0.02133968728243673,0.05938348635594892,-1.9001515942835692,3.0,-1.3671423855604177,0.07640443419929172,-0.08754012611220457,0.03106032275885725,-0.031370254240697074,-0.05018946022743906,-0.07192354592069737,0.04738796488105701,-0.03781266147595727,0.020870673167800318,-0.025978268856215077,0.01828967388162133,0.02734892679661735,-0.030438472715046738
5,0.05669151685967006,-0.010262596361879959,-0.08240182070346806,0.2739831827351814,-1.3671423855604177,3.0,-1.6274880022426759,0.25614926040088315,-0.08351183745782423,0.09696230961412312,0.006542717623471405,0.08851118711523703,-0.03594697795573801,0.04828951691800707,-0.02620342115786694,0.031197602094864153,-0.021220230308520643,-0.03045023379820371,0.034269400527381026
6,-0.035454196664559894,0.024203191217596454,0.01700693372305713,-0.09362993925117699,0.07640443419929172,-1.6274880022426759,3.0,-1.6233783194585674,0.06844745667004781,-0.08818473357458627,0.013945863757086969,-0.07490053772545421,0.026098731832661398,-0.035942533902777574,0.018938716072669927,-0.021539865347528088,0.014071521997761306,0.01911924933045369,-0.02200882195335621
7,0.049525749407144756,-0.03646992093184168,0.006941640092638532,0.09881896605572393,-0.08754012611220457,0.25614926040088315,-1.6233783194585674,3.0,-1.3658282815979352,0.27579524413615697,-0.08733809130655949,0.08946024172145856,-0.010328863586846844,0.05971305132658471,-0.0314040830275685,0.03415483959657681,-0.02151988682911045,-0.027067118130223958,0.032181814246840225
8,-0.038076789602448646,0.04324236723502734,-0.04388268734385885,-0.03318629669728343,0.03106032275885725,-0.08351183745782423,0.06844745667004781,-1.3658282815979352,3.0,-1.9036763215796602,0.0678006120318053,-0.07176041754143805,0.02155928272348613,-0.05772448525703698,0.029704036390261403,-0.030668141069602216,0.018419651099714333,0.021185404146975097,-0.026289338137450404
9,0.06731814768575434,-0.06740689481909078,0.08276185281042489,0.03397602304862161,-0.031370254240697074,0.09696230961412312,-0.08818473357458627,0.27579524413615697,-1.9036763215796602,3.0,-1.0737841471683784,0.14239298433156794,0.01659107302579179,0.10972092640506331,-0.05896294030417895,0.05949613198144204,-0.03549359443323751,-0.03846520606918467,0.04878846086896553
10,-0.08012236399283774,0.27263373677402325,-0.20852785931012863,0.09512381086904609,-0.05018946022743906,0.006542717623471405,0.013945863757086969,-0.08733809130655949,0.0678006120318053,-1.0737841471683784,3.0,-0.8153487577305936,-1.247218202329737,0.016348286731691874,0.023264872046429862,-0.014257014817656795,0.027468924228694624,0.050954899984610835,-0.03957324123518105
11,0.13318576636431906,-0.7559400113050827,-0.7965039301537261,0.1210220502051536,-0.07192354592069737,0.08851118711523703,-0.07490053772545421,0.08946024172145856,-0.07176041754143805,0.14239298433156794,-0.8153487577305936,3.0,-0.805396849900003,0.1513832053789835,-0.083046857935051,0.09253648429175339,-0.07766119618580593,-0.09818968964363628,0.09844228715309433
12,0.10931406175010014,-0.24010829757599045,0.28246270128968665,-0.07303910555661339,0.04738796488105701,-0.03594697795573801,0.026098731832661398,-0.010328863586846844,0.02155928272348613,0.01659107302579179,-1.247218202329737,-0.805396849900003,3.0,-1.0824718504274071,0.0637679387567859,-0.07223756122460454,0.011165505462788862,-0.05290972508952701,0.011716100459301507
13,0.033141227583751015,0.08633864709372621,-0.0721906479280221,0.06668223975982367,-0.03781266147595727,0.04828951691800707,-0.035942533902777574,0.05971305132658471,-0.05772448525703698,0.10972092640506331,0.016348286731691874,0.1513832053789835,-1.0824718504274071,3.0,-1.8934558489110414,0.2612991453652226,-0.0836607582197319,-0.032500886379511935,0.0981738940124742
14,-0.03371787999946664,-0.045442046534061004,0.04693345524205421,-0.03823069497697862,0.020870673167800318,-0.02620342115786694,0.018938716072669927,-0.0314040830275685,0.029704036390261403,-0.05896294030417895,0.023264872046429862,-0.083046857935051,0.0637679387567859,-1.8934558489110414,3.0,-1.3626443994917938,0.07658760552114814,0.03324620289199577,-0.09654775393605484
15,0.09767524292267123,0.006244413199715951,-0.036369400893653876,0.04848810466136372,-0.025978268856215077,0.031197602094864153,-0.021539865347528088,0.03415483959657681,-0.030668141069602216,0.05949613198144204,-0.014257014817656795,0.09253648429175339,-0.07223756122460454,0.2612991453652226,-1.3626443994917938,3.0,-1.6327218893249982,-0.09978456676750883,0.27289623190888823
16,-0.0914241800174592,0.014774954357927247,0.02516478454599195,-0.035034612455355774,0.01828967388162133,-0.021220230308520643,0.014071521997761306,-0.02151988682911045,0.018419651099714333,-0.03549359443323751,0.027468924228694624,-0.07766119618580593,0.011165505462788862,-0.0836607582197319,0.07658760552114814,-1.6327218893249982,3.0,0.08890294969462598,-1.6349553497945255
17,-1.892000519439978,0.11166697739508258,-0.008749543541517062,-0.05199341185822636,0.02734892679661735,-0.03045023379820371,0.01911924933045369,-0.027067118130223958,0.021185404146975097,-0.03846520606918467,0.050954899984610835,-0.09818968964363628,-0.05290972508952701,-0.032500886379511935,0.03324620289199577,-0.09978456676750883,0.08890294969462598,3.0,-1.3785246672033
18,0.27541851616830737,-0.09182448650996373,-0.006814312453674004,0.0581467336530286,-0.030438472715046738,0.034269400527381026,-0.02200882195335621,0.032181814246840225,-0.026289338137450404,0.04878846086896553,-0.03957324123518105,0.09844228715309433,0.011716100459301507,0.0981738940124742,-0.09654775393605484,0.27289623190888823,-1.6349553497945255,-1.3785246672033,3.0
