site,site_0,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18
0,3.0,-1.1098053643012524,0.045462955649814854,0.10753197112807251,-0.05750694823262126,0.06311071739478565,-0.038375333925355054,0.05265897563932657,-0.040535986958013526,0.0692524251759875,-0.07621193820434549,0.14281276929541709,0.10046046386293256,0.038629837415224265,-0.03888074261299515,0.12807815411577192,-0.12786553708757023,-1.9200378240532905,0.3077488463673639
1,-1.1098053643012524,3.0,-1.2702793072174656,0.045462955649652956,-0.0004304220409604778,-0.004387919463165919,0.026967120365185723,-0.03982297598981209,0.04980112744999474,-0.07621193820434392,0.28906744493131975,-0.7945862279613314,-0.240822824080793,0.10046046386284466,-0.05012763374917507,0.005105985370536904,0.01960770837963676,0.11875533464897729,-0.1111390319620741
2,0.045462955649814854,-1.2702793072174656,3.0,-1.1098053643005057,0.11875533464893477,-0.11113903196201641,0.01960770837961605,0.00510598537058338,-0.05012763374920877,0.10046046386293192,-0.24082282408079397,-0.7945862279620262,0.28906744493145897,-0.07621193820429342,0.0498011274499702,-0.03982297598976532,0.02696712036515094,-0.0004304220410296607,-0.004387919463086752
3,0.10753197112807251,0.045462955649652956,-1.1098053643005057,3.0,-1.920037824054026,0.30774884636729916,-0.1278655370875636,0.12807815411576262,-0.03888074261300119,0.03862983741522566,0.1004604638628444,0.1428127692955085,-0.07621193820429142,0.06925242517593974,-0.0405359869579905,0.05265897563930276,-0.03837533392534345,-0.057506948232614506,0.06311071739477454
4,-0.05750694823262126,-0.0004304220409604778,0.11875533464893477,-1.920037824054026,3.0,-1.3876580550306448,0.12853873804458996,-0.1287513211812283,0.03912826652426801,-0.038880742612997635,-0.05012763374917315,-0.09606468696634014,0.04980112744996751,-0.04053598695799063,0.02324015967641959,-0.02964051245536798,0.02103889106611625,0.03075042064221246,-0.03428354245455402
5,0.06311071739478565,-0.004387919463165919,-0.11113903196201641,0.30774884636729916,-1.3876580550306448,3.0,-1.6530849728042547,0.3061699456574439,-0.12875132118124338,0.128078154115775,0.005105985370534926,0.108734444241748,-0.03982297598976456,0.05265897563930298,-0.029640512455367914,0.03637665185722761,-0.024949238172318682,-0.03428354245455591,0.03922390898748611
6,-0.038375333925355054,0.026967120365185723,0.01960770837961605,-0.1278655370875636,0.12853873804458996,-1.6530849728042547,3.0,-1.6530849728034696,0.12853873804460259,-0.12786553708757342,0.019607708379640137,-0.08591531394279402,0.0269671203651502,-0.03837533392534284,0.021038891066115947,-0.024949238172318706,0.01634876135031159,0.02103889106612008,-0.024949238172321416
7,0.05265897563932657,-0.03982297598981209,0.00510598537058338,0.12807815411576262,-0.1287513211812283,0.3061699456574439,-1.6530849728034696,3.0,-1.3876580550314292,0.3077488463673671,-0.11113903196207811,0.10873444424172002,-0.004387919463086094,0.06311071739477392,-0.03428354245455363,0.03922390898748662,-0.024949238172321867,-0.029640512455377636,0.03637665185723633
8,-0.040535986958013526,0.04980112744999474,-0.05012763374920877,-0.03888074261300119,0.03912826652426801,-0.12875132118124338,0.12853873804460259,-1.3876580550314292,3.0,-1.9200378240533091,0.11875533464898044,-0.09606468696629805,-0.0004304220410314835,-0.0575069482326153,0.03075042064221283,-0.0342835424545571,0.02103889106612071,0.023240159676429922,-0.02964051245537791
9,0.0692524251759875,-0.07621193820434392,0.10046046386293192,0.03862983741522566,-0.038880742612997635,0.128078154115775,-0.12786553708757342,0.3077488463673671,-1.9200378240533091,3.0,-1.1098053643012418,0.14281276929541079,0.04546295564981804,0.10753197112807016,-0.05750694823261992,0.06311071739478585,-0.03837533392535518,-0.04053598695801306,0.05265897563932578
10,-0.07621193820434549,0.28906744493131975,-0.24082282408079397,0.1004604638628444,-0.05012763374917315,0.005105985370534926,0.019607708379640137,-0.11113903196207811,0.11875533464898044,-1.1098053643012418,3.0,-0.7945862279613479,-1.270279307217455,0.04546295564965111,-0.00043042204095896123,-0.004387919463169281,0.026967120365186358,0.04980112744999619,-0.03982297598981231
11,0.14281276929541709,-0.7945862279613314,-0.7945862279620262,0.1428127692955085,-0.09606468696634014,0.108734444241748,-0.08591531394279402,0.10873444424172002,-0.09606468696629805,0.14281276929541079,-0.7945862279613479,3.0,-0.7945862279620219,0.1428127692955071,-0.09606468696634254,0.108734444241748,-0.0859153139427927,-0.0960646869663003,0.10873444424171859
12,0.10046046386293256,-0.240822824080793,0.28906744493145897,-0.07621193820429142,0.04980112744996751,-0.03982297598976456,0.0269671203651502,-0.004387919463086094,-0.0004304220410314835,0.04546295564981804,-1.270279307217455,-0.7945862279620219,3.0,-1.1098053643005188,0.11875533464893626,-0.11113903196201189,0.019607708379614966,-0.05012763374920793,0.005105985370583595
13,0.038629837415224265,0.10046046386284466,-0.07621193820429342,0.06925242517593974,-0.04053598695799063,0.05265897563930298,-0.03837533392534284,0.06311071739477392,-0.0575069482326153,0.10753197112807016,0.04546295564965111,0.1428127692955071,-1.1098053643005188,3.0,-1.9200378240540188,0.30774884636728705,-0.12786553708755977,-0.038880742613001056,0.12807815411575962
