depth,direction,theta0,energy_at_zero,finite_difference_step,energy_plus,energy_minus,gradient,curvature
1,color0,0.0,-29.012072100265176,0.001,-29.012008613119804,-29.012008613119804,0.0,126.97429074393085
1,color1,0.0,-29.012072100265176,0.001,-29.012007560756896,-29.012007560756896,0.0,129.0790165597855
1,color2,0.0,-29.012072100265176,0.001,-29.012003180483845,-29.012003180483845,0.0,137.83956266166797
1,color3,0.0,-29.012072100265176,0.001,-29.01199347246254,-29.01199347246254,0.0,157.2556052735763
1,all_colors_shared,0.0,-29.012072100265176,0.001,-29.012084827929158,-29.012084827929158,0.0,-25.455327964607477
1,alternating_colors,0.0,-29.012072100265176,0.001,-29.011745250750675,-29.011745250750675,0.0,653.6990290015865
